Key,Institute_name,Branch,Sub_category,State_Quota,GE_CR,SC_CR,ST_CR,OBC_CR,year
4115,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33481,6744,3343,11436,2017
4116,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,42036,9213,,57904,2017
4117,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,29287,5938,2871,10230,2017
4118,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,25213,4704,9802,22484,2017
4119,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,18316,3279,1546,6208,2017
4120,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,505,,,837,2017
4121,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,76237,16414,,119992,2017
4122,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,36840,7347,4168,12943,2017
4123,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,685,,,,2017
4124,"Gurukula Kangri Vishwavidyalaya, Haridwar","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,43501,9529,7369,14648,2017
4125,"Gurukula Kangri Vishwavidyalaya, Haridwar","Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,50164,9715,6818,15380,2017
4126,"Gurukula Kangri Vishwavidyalaya, Haridwar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,49832,9838,7595,15436,2017
4127,"Gurukula Kangri Vishwavidyalaya, Haridwar","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,50047,9998,7191,15392,2017
4128,"Gurukula Kangri Vishwavidyalaya, Haridwar","Mechanical Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1957,,,,2017
4129,HNB Garhwal University Srinagar (Garhwal),"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,47741,9754,6108,14957,2017
4130,HNB Garhwal University Srinagar (Garhwal),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,51383,10275,7846,15777,2017
4131,HNB Garhwal University Srinagar (Garhwal),"Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,50656,10201,7512,15735,2017
4132,HNB Garhwal University Srinagar (Garhwal),"Instrumentation Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,52778,10580,7969,15915,2017
4133,HNB Garhwal University Srinagar (Garhwal),"Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,52021,10149,6881,15836,2017
4134,"Indian Institute of Carpet Technology, Bhadohi","Carpet and Textile Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,51868,10315,7779,15876,2017
4135,"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,28894,3046,1116,22956,2017
4136,"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,16087,1813,2394,6243,2017
4137,"Indian Institute of Engineering Science and Technology, Shibpur","Aerospace Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,370,,,,2017
4138,"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",FALSE,HOMESTATE,2457,413,214,3207,2017
4139,"Indian Institute of Engineering Science and Technology, Shibpur","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",FALSE,OTHERSTATE,2516,419,116,1145,2017
4140,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,31503,4471,9280,24807,2017
4141,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,28981,4808,2627,8348,2017
4142,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,969,,,858,2017
4143,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,674,,,,2017
4144,"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,12829,2290,2418,9401,2017
4145,"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,13235,3918,2666,4511,2017
4146,"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,,,,191,2017
4147,"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,360,,,,2017
4148,"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,18632,3050,5661,13397,2017
4149,"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,20685,4212,2636,7161,2017
4150,"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,131,,,,2017
4151,"Indian Institute of Engineering Science and Technology, Shibpur","Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,14161,1964,2533,11712,2017
4152,"Indian Institute of Engineering Science and Technology, Shibpur","Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,17621,4425,2584,5944,2017
4153,"Indian Institute of Engineering Science and Technology, Shibpur","Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,486,,,,2017
4154,"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,25050,3741,4022,19329,2017
4155,"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,18194,4633,3490,6296,2017
4156,"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,1165,,,,2017
4157,"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,523,,,,2017
4158,"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,21373,3271,5284,15215,2017
4159,"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,20979,4603,2176,6970,2017
4160,"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, Bachelor of Technology)",TRUE,HOMESTATE,312,,,,2017
4161,"Indian Institute of Engineering Science and Technology, Shibpur","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,34842,5287,5815,26918,2017
4162,"Indian Institute of Engineering Science and Technology, Shibpur","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,32672,5486,5750,11691,2017
4163,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",FALSE,HOMESTATE,36731,5304,9400,28098,2017
4164,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,33866,6137,4557,10124,2017
4165,Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,28998,7099,5860,11524,2017
4166,Indian Institute of Information Technology (IIIT) Nagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1593,,,,2017
4167,Indian Institute of Information Technology (IIIT) Nagpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,34022,7751,6033,12962,2017
4168,Indian Institute of Information Technology (IIIT) Nagpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1902,,,,2017
4169,Indian Institute of Information Technology (IIIT) Pune,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,24754,4966,3473,9835,2017
4170,Indian Institute of Information Technology (IIIT) Pune,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,927,,,673,2017
4171,Indian Institute of Information Technology (IIIT) Pune,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,30704,7339,4682,11528,2017
4172,Indian Institute of Information Technology (IIIT) Pune,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1144,,,,2017
4173,Indian Institute of Information Technology (IIIT) Ranchi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,31169,7871,5376,11827,2017
4174,Indian Institute of Information Technology (IIIT) Ranchi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1576,,,,2017
4175,Indian Institute of Information Technology (IIIT) Ranchi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,35748,8112,6212,12963,2017
4176,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,21853,5809,3406,9124,2017
4177,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Computer Science and Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,684,,,,2017
4178,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,30321,6955,4194,11538,2017
4179,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TRUE,OTHERSTATE,1679,,,,2017
4180,Indian Institute of Information Technology Bhagalpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,36903,8324,7012,13457,2017
4181,Indian Institute of Information Technology Bhagalpur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",FALSE,OTHERSTATE,39113,8656,7206,13780,2017
