Sl#,key,Institute,Branch,Course,Sub Category,State Quota,State,GE_CR,SC_CR,ST_CR,OBC_CR,Year
86,"ITM University, GwaliorDIGAUT4BFALSEOTHERSTATE","ITM University, Gwalior",Automobile Engineering,DIGAUT4B,FALSE,OTHERSTATE,MP,316607,380147,692228,,2014
87,"ITM University, GwaliorDIGBID5MFALSEOTHERSTATE","ITM University, Gwalior",Biotechnology Engineering - 5 Yrs Dual Degree,DIGBID5M,FALSE,OTHERSTATE,MP,,631270,,,2014
88,"ITM University, GwaliorDIGCIV4BFALSEOTHERSTATE","ITM University, Gwalior",Civil Engineering,DIGCIV4B,FALSE,OTHERSTATE,MP,309417,633572,490320,367158,2014
89,"ITM University, GwaliorDIGCID5MFALSEOTHERSTATE","ITM University, Gwalior",Civil Engineering - 5 Yrs Dual Degree,DIGCID5M,FALSE,OTHERSTATE,MP,290171,541462,551506,,2014
90,"ITM University, GwaliorDIGCSE4BFALSEOTHERSTATE","ITM University, Gwalior",Computer Science & Engineering,DIGCSE4B,FALSE,OTHERSTATE,MP,342113,837233,491017,380614,2014
91,"ITM University, GwaliorDIGCSD5MFALSEOTHERSTATE","ITM University, Gwalior",Computer Science & Engineering 5 year dual degree,DIGCSD5M,FALSE,OTHERSTATE,MP,116321,794225,392367,208950,2014
92,"ITM University, GwaliorDIGELE4BFALSEOTHERSTATE","ITM University, Gwalior",Electrical Engineering,DIGELE4B,FALSE,OTHERSTATE,KL,325609,764806,588676,18430,2014
93,"ITM University, GwaliorDIGECE4BFALSEOTHERSTATE","ITM University, Gwalior",Electronics & Communication Engineering,DIGECE4B,FALSE,OTHERSTATE,KL,322806,831984,351626,42693,2014
94,"ITM University, GwaliorDIGECD5MFALSEOTHERSTATE","ITM University, Gwalior",Electronics & Communication Engineering 5- year dual degree,DIGECD5M,FALSE,OTHERSTATE,KL,297702,120708,168857,28416,2014
95,"ITM University, GwaliorDIGICT4BFALSEOTHERSTATE","ITM University, Gwalior",Information & Communication Technology,DIGICT4B,FALSE,OTHERSTATE,KL,349731,150692,168386,32907,2014
96,"ITM University, GwaliorDIGICD5MFALSEOTHERSTATE","ITM University, Gwalior",Information & Communication Technology 5 Yrs Dual Degree,DIGICD5M,FALSE,OTHERSTATE,State,290583,102647,147505,22823,2014
97,"ITM University, GwaliorDIGMEC4BFALSEOTHERSTATE","ITM University, Gwalior",Mechanical Engineering,DIGMEC4B,FALSE,OTHERSTATE,KL,325423,846543,700865,354197,2014
98,"ITM University, GwaliorDIGMED5MFALSEOTHERSTATE","ITM University, Gwalior",Mechanical Engineering - 5 Yrs Dual Degree,DIGMED5M,FALSE,OTHERSTATE,KL,106755,189745,569032,52413,2014
99,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITCSA4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",B.Tech Computer Science & Engineering & Specialisation in Cloud Based Applications,DITCSA4B,FALSE,OTHERSTATE,KL,138661,589955,749387,,2014
100,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITCSB4BFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",B.Tech Computer Science & Engineering & Specialisation in Mobile Applications,DITCSB4B,FALSE,OTHERSTATE,KL,307552,147205,245844,61803,2014
101,"DIT University, Mussoorie Diversion Road, Dehradun, UttarakhandDITMEM5MFALSEOTHERSTATE","DIT University, Mussoorie Diversion Road, Dehradun, Uttarakhand",B.Tech in Mechanical Engineering + MBA (Integrated),DITMEM5M,FALSE,OTHERSTATE,LD,317574,623693,308415,59043,2014
